dx,dy,dz,ax,ay,az
105.6,-1.4,161.6,-180,6.59,179.2
84.1,-33.7,169.6,-179.41,11.02,-175.07
116.2,36.3,147.3,-168.47,2.43,175.28
41.5,-16.5,225.9,-171.58,18.02,179.29
77.1,-49.7,209.7,-178.16,8.86,-171.66
128.1,50.7,174.3,-173.27,4.47,179.49
166.3,9.5,146.4,-169.2,-6.33,-175.25
28.8,-11.3,201.5,-173.85,21.09,172.82
60.8,-4.6,196.6,168.71,12.34,172.52
94.8,8.5,203.1,-168.82,4.72,-175.44
78.9,38.5,175.7,-172.03,12.72,-179.17
28.3,-97.4,196.4,175.99,14.79,-177.69
105.1,21.7,192.2,173.58,0.61,176.47
139,32.7,151.6,-165.08,-0.79,176.41
